,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1240
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3016
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2224
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2120
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,104
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5304
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1384
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3592
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3608
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1112
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6320
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1800
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5976
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,264
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-792
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1400
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,712
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,88
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,632
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,8760
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5864
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8584
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,776
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1432
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4136
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1928
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5064
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6904
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-152
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3520
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8776
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-520
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2520
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5784
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4616
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2520
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1856
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4456
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1296
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2008
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8176
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,872
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2408
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6392
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1488
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-208
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-64
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6000
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,136
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,576
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4304
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,176
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1848
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1384
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1512
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1432
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1656
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,376
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4664
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2856
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2280
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-520
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2672
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3664
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4664
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2456
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9016
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,8968
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1568
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5536
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,15144
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6664
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1400
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2904
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5656
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5752
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5584
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3376
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5112
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9296
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1760
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-128
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,-776
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,376
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3400
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1144
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5256
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,2040
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,4024
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,2000
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,376
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,616
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6872
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,344
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,728
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8744
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4736
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,840
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2056
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6088
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,5056
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3480
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3480
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,360
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5160
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4056
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1552
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,800
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2040
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4576
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5128
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5288
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3816
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4088
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,72
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7784
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1032
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5488
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6552
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,744
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1192
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3016
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4288
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4216
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3880
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5048
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3456
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,808
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,648
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,9800
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6080
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1816
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,328
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9912
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11320
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,264
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,808
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6272
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,504
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2248
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3944
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1464
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1024
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5784
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8440
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2488
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1032
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2600
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4296
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1464
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4752
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5416
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6368
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,12448
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9624
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11624
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,648
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2856
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4056
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,12488
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1176
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2824
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5784
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1864
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,8928
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,136
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9024
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6072
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9512
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3704
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,600
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,12472
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,424
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2264
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4496
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5368
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6296
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1112
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1464
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4712
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3992
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3368
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1008
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3184
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4096
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5536
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2920
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6240
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3008
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6104
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2888
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,4104
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,12712
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1352
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3376
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3928
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11408
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3264
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3480
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,920
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,448
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,568
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6992
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10392
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5192
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1160
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2968
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5992
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2424
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1192
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,952
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2592
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6344
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7864
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5472
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,248
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,520
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1464
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2696
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1912
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,408
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5168
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1128
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8920
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1256
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3848
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1248
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4576
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,376
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4872
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,6936
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4304
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5968
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4016
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2432
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3528
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,104
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3384
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6248
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8600
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7648
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2904
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1232
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1992
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2128
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,696
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1352
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2936
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,8680
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7520
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5400
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1688
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1736
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1496
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,504
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6232
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1608
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1488
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1392
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,488
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,10264
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6840
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5784
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,9352
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,776
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,15576
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5192
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,584
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,12936
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2632
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,1928
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9384
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1336
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9184
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,936
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5504
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,896
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,3064
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,8184
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5848
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,14936
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3072
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5192
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,-552
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,5144
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,13432
311,0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,1120
312,1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,8416
313,0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1464
314,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,9920
315,2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,10904
316,0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,616
317,0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2216
318,0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,1336
319,1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,7592
320,1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,7752
321,0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,560
322,0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3704
323,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-728
324,0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2120
325,2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,13712
326,1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,8456
327,0.3,Very Good,F,VVS1,61.0,57.0,4.33,4.36,2.65,968
328,1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,5288
329,0.32,Ideal,E,VVS1,60.9,57.0,4.42,4.45,2.7,1384
330,0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,176
331,0.2,Premium,D,VS2,61.7,60.0,3.77,3.72,2.31,-280
332,0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,2920
333,0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,2536
334,0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,3448
335,1.16,Ideal,G,VVS1,61.9,55.0,6.75,6.78,4.19,7640
336,1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,5296
337,0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,1688
338,1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,8312
339,1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,3928
340,0.37,Ideal,I,SI1,60.7,60.0,4.6,4.62,2.8,-528
341,0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81,728
342,0.64,Good,H,VS1,61.8,60.3,5.47,5.53,3.4,2520
343,2.01,Very Good,I,SI1,60.8,60.0,8.12,8.15,4.95,12080
344,1.29,Ideal,G,VS2,62.5,57.0,6.89,6.92,4.35,7832
345,1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,6280
346,2.01,Premium,H,SI1,62.7,59.0,8.08,8.03,5.05,12472
347,0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,-24
348,0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,2056
349,1.01,Very Good,G,VS2,63.0,56.0,6.35,6.41,4.02,5512
350,0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,1176
351,0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,1416
352,0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,104
